52441 function calls (51748 primitive calls) in 51.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        7    0.000    0.000    0.000    0.000 PpmImagePlugin.py:43(_accept)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:50(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:130(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1537(AppendingTiffWriter)
        7    0.000    0.000    0.000    0.000 TiffImagePlugin.py:252(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:269(IFDRational)
       28    0.000    0.000    0.000    0.000 TiffImagePlugin.py:343(_delegate)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:386(ImageFileDirectory_v2)
        1    0.000    0.000    0.008    0.008 TiffImagePlugin.py:42(<module>)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:591(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:592(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:600(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:601(decorator)
        7    0.000    0.000    0.000    0.000 TiffImagePlugin.py:606(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:825(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:918(TiffImageFile)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      103    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:348(_populate)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1080(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1086(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1132(getLogger)
        1    0.000    0.000   51.261   51.261 __init__.py:1132(mainloop)
        1    0.000    0.000    0.000    0.000 __init__.py:1135(quit)
     1436    0.004    0.000    0.008    0.000 __init__.py:1166(_options)
        2    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
      113    0.001    0.000    0.001    0.000 __init__.py:1208(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        3    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:1257(debug)
      580    0.002    0.000    0.062    0.000 __init__.py:1314(_configure)
      580    0.001    0.000    0.062    0.000 __init__.py:1326(configure)
        9    0.000    0.000    0.000    0.000 __init__.py:1346(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:138(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
       18    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1540(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
      113    0.000    0.000    0.000    0.000 __init__.py:1543(__init__)
        5    0.000    0.000    1.204    0.241 __init__.py:1548(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1560(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:1581(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1602(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:1686(wm_geometry)
